"id","product_id","color","color_quantity"
"1","1","Blue","12"
"2","1","Black","8"
"3","2","White","5"
"4","2","Gray","10"
"5","3","Indigo","5"
"6","3","Dark Blue","5"
"7","4","Black","4"
"8","4","Brown","6"
"9","5","Light Blue","8"
"10","5","Medium Blue","7"
"11","6","Green","5"
"12","6","Black","7"
"13","7","White","10"
"14","7","Blue","10"
"15","8","Red","6"
"16","8","Green","9"
"17","9","Black","5"
"18","9","Gray","5"
"19","10","Black","7"
"20","10","Charcoal","3"
"21","11","Navy","5"
"22","11","Black","10"
"23","12","Beige","3"
"24","12","Khaki","5"
